clip_sim,is_fake
0.26130134,0
0.29458904,0
0.25416923,0
0.22102061,0
0.28348136,0
0.23776081,1
0.29935163,1
0.3004715,0
0.33823252,0
0.32302094,0
0.25133392,1
0.29816484,1
0.33633763,0
0.3428354,0
0.32509542,0
0.34382454,0
0.24640393,1
0.3103231,1
0.2694915,1
0.23046313,1
0.2644042,0
0.27487922,1
0.2762377,1
0.25208944,0
0.3025958,0
0.36931926,0
0.23300242,1
0.22659704,0
0.31201428,0
0.35045028,0
0.30970484,0
0.2365064,1
0.33830446,1
0.28395042,1
0.29168183,1
0.21979812,1
0.32605943,1
0.3316663,0
0.28075355,1
0.17649668,1
0.30262136,0
0.2452012,1
0.10447236,1
0.22146419,1
0.3101138,0
0.2802205,0
0.30043846,1
0.2728487,1
0.28166386,0
0.26466912,1
0.29209548,0
0.32506427,0
0.30961418,0
0.29178733,0
0.36426312,0
0.24244803,1
0.27569503,1
0.32740813,0
0.3406262,0
0.32971036,0
0.3307138,0
0.18621564,1
0.36299053,0
0.27612388,1
0.29419965,0
0.21827006,1
0.20744362,1
0.27609086,0
0.24542294,0
0.35922486,0
0.27852333,1
0.36105493,1
0.32987845,1
0.29641727,0
0.3208393,0
0.31075397,0
0.31631324,0
0.2777285,0
0.3299632,0
0.3008498,0
0.36168396,0
0.3159038,0
0.25532514,0
0.2803421,1
0.24167071,1
0.2506414,1
0.2654261,0
0.28967583,1
0.33276314,1
0.35188657,1
0.3318463,1
0.28550655,0
0.32175732,0
0.2849551,0
0.2676931,1
0.40662628,1
0.281576,0
0.2677529,1
0.25741082,0
0.38768518,1
0.23417568,1
0.3369254,0
0.23531216,1
0.31960785,0
0.29843733,0
0.31624812,1
0.22274736,1
0.2832716,0
0.18207414,1
0.26367038,0
0.26051205,1
0.20310219,0
0.22080478,0
0.30429405,0
0.2905296,0
0.2535709,0
0.2748629,1
0.25859225,1
0.24951167,1
0.36068732,1
0.27009034,1
0.295838,0
0.18771183,1
0.27863434,0
0.35294038,1
0.36883557,1
0.2191954,1
0.23728204,1
0.24079056,0
0.22813609,1
0.2213851,1
0.28399894,0
0.34106225,0
0.26876986,0
0.3577388,1
0.09977058,1
0.28229177,0
0.27219173,0
0.3054049,0
0.31560117,0
0.2954285,1
0.27172512,1
0.26988623,0
0.31040153,0
0.29924184,0
0.31554517,1
0.25767684,0
0.3094538,0
0.24248433,1
0.2762272,0
0.2835588,0
0.33743382,0
0.29899493,0
0.30622488,1
0.3116211,0
0.3701123,0
0.24369535,0
0.23703033,0
0.20772357,1
0.30819106,0
0.2611896,0
0.12832847,1
0.26268178,0
0.27907127,0
0.21093641,1
0.2405379,0
0.26932186,1
0.3442992,0
0.14317343,1
0.3212781,1
0.30331928,0
0.2530014,1
0.20015179,1
0.2865439,0
0.33567366,1
0.32696277,0
0.3459111,1
0.22385043,1
0.2393495,0
0.31479317,1
0.28912318,1
0.34225386,1
0.2849142,1
0.1861696,1
0.30048138,0
0.3368874,0
0.2849219,0
0.29866546,0
0.28720474,0
0.19305009,1
0.23178944,1
0.19649276,1
0.33973467,0
0.28727362,1
0.3019625,1
0.298217,0
0.27845472,0
0.18767625,1
0.32367986,0
0.2714433,0
0.26588503,0
0.3378391,0
0.209959,1
0.32368883,0
0.32689238,0
0.20627907,1
0.24417862,1
0.3329364,1
0.25082648,1
0.24134623,1
0.3171019,0
0.31542665,1
0.28963116,0
0.26019597,1
0.2663637,0
0.28668064,1
0.3361965,0
0.3111518,1
0.19360295,1
0.22857001,1
0.23513052,1
0.26968834,0
0.2885664,0
0.31769013,1
0.20984751,1
0.38277483,1
0.24064259,1
0.28635138,0
0.28448483,0
0.2956699,0
0.25001723,1
0.21995252,1
0.25525868,0
0.37210268,0
0.24208626,1
0.18398635,1
0.23593095,1
0.22722726,0
0.30945936,0
0.21710226,1
0.1612437,1
0.18674703,1
0.2709582,0
0.31720155,0
0.25647783,0
0.34112442,0
0.30565044,0
0.30392128,1
0.20993966,1
0.2512347,0
0.2797681,1
0.3000449,0
0.23564872,1
0.2553026,0
0.27972168,0
0.19974867,1
0.33418208,0
0.33199984,1
0.30873865,1
0.19523413,1
0.27381897,0
0.19608618,1
0.33360577,0
0.3526671,0
0.30155808,0
0.24041685,0
0.2382465,1
0.25874624,0
0.1831956,0
0.287155,0
0.33902258,0
0.2197046,0
0.3039962,0
0.3354919,0
0.26889798,0
0.2543456,1
0.23754606,1
0.19643873,1
0.26855713,1
0.33783224,0
0.3226279,1
0.30598778,0
0.23645645,1
0.400494,1
0.21412332,1
0.32770526,0
0.3185795,0
0.2358223,1
0.3295233,0
0.31530976,1
0.24705411,1
0.24613968,0
0.27090394,1
0.30841976,0
0.19421417,1
0.3149813,0
0.2968927,0
0.24669175,1
0.19330253,1
0.22290105,1
0.34523225,0
0.23911941,1
0.1725753,0
0.31897622,0
0.30617505,0
0.25771886,1
0.2640118,0
0.24955088,1
0.31728804,0
0.22279012,0
0.3763438,1
0.36259764,0
0.29242373,1
0.21652642,0
0.21289769,1
0.33168814,1
0.21343726,1
0.25250277,0
0.31036854,1
0.35377622,1
0.31734362,1
0.31001687,1
0.26416487,0
0.29123545,0
0.30115476,1
0.34327766,0
0.28411597,1
0.1787856,1
0.30948406,0
0.33951443,0
0.28575706,1
0.2644828,1
0.2708406,1
0.29461682,0
0.1600702,1
0.39063382,0
0.28557763,0
0.2844969,1
0.3340041,0
0.3622753,0
0.38554123,1
0.19506937,1
0.30427435,0
0.261164,1
0.27537924,0
0.28367084,0
0.32037258,0
0.25630113,1
0.28340906,1
0.3419143,0
0.23662432,1
0.2561604,0
0.2895983,1
0.2842093,1
0.24434906,1
0.3164097,0
0.3265592,1
0.33637184,0
0.21019916,1
0.32059735,0
0.28105462,0
0.31348023,0
0.3086417,0
0.2974842,1
0.31676528,1
0.38093042,0
0.21073715,1
0.3162766,1
0.23351598,0
0.30129173,0
0.36582494,1
0.3233304,0
0.2888669,0
0.26047122,1
0.27506033,0
0.26053065,1
0.2605633,1
0.23674683,0
0.33406937,0
0.31878364,0
0.3017679,0
0.31869018,1
0.20441748,1
0.32546234,0
0.29099905,0
0.23974651,1
0.27203313,1
0.24939884,0
0.18914592,1
0.27388185,0
0.257554,1
0.2983624,0
0.33325493,1
0.30472103,0
0.33159986,1
0.18611503,1
0.2139996,1
0.28416413,1
0.22869521,1
0.21987744,1
0.2349141,1
0.37737843,0
0.3379897,1
0.25242954,1
0.27117088,0
0.2291187,1
0.2931723,0
0.22845009,1
0.33198237,1
0.19491416,1
0.32592,0
0.20244989,1
0.3193733,0
0.32781976,0
0.21655872,1
0.18953575,1
0.23129418,1
0.30156034,1
0.30733502,1
0.2582371,1
0.21263385,0
0.27948648,0
0.31511348,1
0.21258686,1
0.33043817,0
0.2901549,1
0.30711836,1
0.27674046,0
0.2947974,0
0.33410978,1
0.37444535,0
0.2446106,1
0.34616235,0
0.34235495,1
0.20998487,0
0.32718575,1
0.3261033,0
0.28637785,1
0.22926314,1
0.24032317,1
0.22217102,1
0.15055293,0
0.16162634,1
0.25648308,0
0.29482353,0
0.30050176,1
0.22016114,1
0.24923322,0
0.35357422,0
0.22254834,1
0.29711667,0
0.16443625,1
0.22113103,1
0.26752198,0
0.32056922,0
0.38721424,0
0.29603985,0
0.36192086,0
0.2615322,0
0.25179252,0
0.30733037,0
0.3462694,0
0.32085246,0
0.32807878,1
0.20819631,0
0.37514102,1
0.2750433,1
0.30246764,0
0.31323147,0
0.25746906,1
0.39320254,1
0.2636506,1
0.1801215,0
0.33934757,1
0.22817901,1
0.27736604,1
0.33025354,0
0.2665037,0
0.2865506,0
0.2606418,0
0.27524024,0
0.32534087,1
0.30694243,0
0.28089643,0
0.19460598,1
0.27218974,1
0.2946115,0
0.32955176,0
0.2890727,1
0.15639256,1
0.19200742,1
0.33293185,0
0.29846263,0
0.32087624,0
0.37115216,1
0.2602995,1
0.31808388,0
0.2936052,1
0.24599679,1
0.26672393,0
0.2240683,0
0.3459111,0
0.30843076,1
0.3357526,0
0.17514385,1
0.26944697,0
0.18801339,1
0.2645485,1
0.30093855,1
0.21683338,1
0.20599481,1
0.2891779,1
0.19940323,1
0.2937887,0
0.26164186,0
0.3386932,0
0.18031383,1
0.29845247,0
0.30447432,0
0.33042383,1
0.32947585,0
0.34109205,1
0.32008183,1
0.28905022,0
0.2818277,0
0.34072748,0
0.32279637,0
0.27095744,1
0.2768259,0
0.26768893,1
0.27666703,0
0.24257776,1
0.25214577,1
0.26807874,1
0.34604272,0
0.1760339,1
0.26702097,1
0.2881898,1
0.29797652,0
0.23987684,1
0.18884477,0
0.19602153,1
0.26029572,1
0.19104171,1
0.28052294,0
0.21412832,1
0.23229924,1
0.27846032,1
0.29157805,0
0.37534118,1
0.2547212,0
0.27556515,1
0.18121696,1
0.24006785,0
0.29072502,1
0.22129968,1
0.22812101,1
0.24230848,1
0.16323316,1
0.21380433,1
0.3089454,1
0.30574045,0
0.3328826,0
0.24782462,0
0.2626611,0
0.25411612,1
0.30566248,1
0.27631083,1
0.26470947,0
0.27056044,0
0.2663982,0
0.18601276,1
0.28444785,1
0.15261838,1
0.18224365,1
0.3261817,1
0.20708649,1
0.27371582,0
0.3058205,1
0.3595045,1
0.25737298,1
0.2982651,1
0.28745496,0
0.27471438,1
0.3087861,0
0.2865916,0
0.25215912,1
0.26094908,0
0.28572634,0
0.31357273,0
0.31670323,0
0.28957957,0
0.23881008,1
0.23712616,1
0.29668385,1
0.26852414,1
0.29411113,0
0.25903326,1
0.31744844,0
0.29143667,0
0.34548363,0
0.33693385,1
0.24963216,0
0.3100204,0
0.1389112,1
0.36397314,0
0.28299913,1
0.31043532,1
0.35388786,0
0.32677707,0
0.29670465,1
0.22881772,0
0.25784028,1
0.2135406,1
0.2979496,0
0.26195776,0
0.23903677,1
0.31703866,0
0.30978596,1
0.28825393,0
0.3039222,0
0.31780457,1
0.2734342,0
0.2076832,1
0.2923763,0
0.33340597,1
0.29745075,1
0.33238453,0
0.2754808,0
0.32102466,0
0.32049727,0
0.30378383,1
0.3750664,1
0.2983767,1
0.23368156,0
0.28129977,0
0.26106685,1
0.2635684,0
0.3110855,0
0.24477355,1
0.32069623,0
0.20319319,1
0.19221981,1
0.31503302,0
0.36716792,0
0.31734848,0
0.31439942,0
0.2968951,1
0.2903978,0
0.37733024,0
0.2879042,0
0.25596753,0
0.33722875,1
0.25724214,1
0.2070026,1
0.3025024,0
0.25357354,0
0.26431194,0
0.2658847,1
0.18397117,0
0.23517133,1
0.33734643,1
0.23381433,1
0.31047678,0
0.30144227,1
0.2993608,1
0.30207866,0
0.21049488,1
0.29190284,0
0.24841216,1
0.28850287,0
0.29488018,0
0.2660708,1
0.3256209,1
0.23153089,1
0.29700667,1
0.24842435,0
0.16469637,0
0.34295344,0
0.29895934,0
0.31120044,1
0.2849155,0
0.26352054,1
0.27565652,1
0.26025704,1
0.26994956,0
0.2864528,1
0.29143018,0
0.29344776,1
0.28450596,0
0.2328081,1
0.30407816,1
0.34270415,0
0.32991388,0
0.3039048,1
0.3178444,0
0.30058864,0
0.3278153,1
0.2679361,1
0.27801698,1
0.33462912,1
0.26749748,1
0.33321273,0
0.20918012,1
0.16377859,1
0.2416777,1
0.34651566,0
0.23753668,1
0.26854873,1
0.24870998,0
0.3094942,0
0.31860024,0
0.2725987,1
0.26025027,0
0.21397196,1
0.22360176,1
0.27109414,1
0.19879991,1
0.32177496,1
0.34336025,0
0.20881522,1
0.35248184,0
0.33934587,0
0.2581594,1
0.29047284,0
0.29441458,0
0.23884481,1
0.28802562,1
0.27617514,1
0.24158777,1
0.26892626,1
0.29861364,0
0.31992263,0
0.23278649,1
0.27112192,0
0.2094517,1
0.37471104,0
0.2639992,0
0.23996511,0
0.31211543,0
0.2321918,1
0.18029888,1
0.26950705,0
0.31743938,0
0.33423746,1
0.3190754,0
0.31775534,0
0.29798764,1
0.31273288,0
0.2913268,1
0.33530933,1
0.22436026,1
0.24670932,0
0.2718141,1
0.32056457,1
0.23650348,1
0.28909582,0
0.32822508,0
0.33128515,0
0.19375452,1
0.26321638,1
0.3214135,1
0.3078387,0
0.21532121,0
0.3053714,0
0.20241505,1
0.25163472,1
0.26732484,0
0.25647256,0
0.3033074,1
0.30285084,1
0.21181262,1
0.23188272,1
0.22604805,1
0.30621248,0
0.28180677,0
0.30997908,1
0.27095658,0
0.24953744,0
0.2644163,0
0.30971685,1
0.15791838,1
0.18481104,1
0.3498742,0
0.3388751,0
0.28890595,0
0.27861786,1
0.27235836,0
0.35252407,1
0.2085649,1
0.24168159,1
0.25601947,0
0.14938822,1
0.2547665,1
0.24579294,1
0.27301854,1
0.3270153,1
0.32457453,0
0.3045424,0
0.2207467,1
0.35343125,1
0.26477963,1
0.3326273,0
0.29357708,0
0.24851294,0
0.2595571,0
0.2488781,1
0.3042085,0
0.29571435,0
0.23484775,1
0.30262312,0
0.21637964,1
0.25575143,1
0.2657179,0
0.33477908,0
0.3255087,0
0.33177215,1
0.3293045,0
0.23721501,0
0.24564159,1
0.27894148,0
0.32298633,0
0.36975121,1
0.24146423,1
0.25990713,0
0.32377887,0
0.30131042,0
0.27308095,0
0.33510238,0
0.32168338,1
0.26798066,0
0.27399606,1
0.25387603,1
0.2883013,0
0.2522428,0
0.34550875,0
0.28004375,1
0.24273603,1
0.2581367,1
0.3100002,0
0.25938535,0
0.2585208,0
0.31649053,1
0.21541488,1
0.24380213,1
0.22746636,1
0.31096342,1
0.23839912,1
0.31973904,1
0.34242496,0
0.3247168,0
0.31642908,0
0.29282522,1
0.22241841,1
0.31083143,1
0.20149145,1
0.2600934,1
0.31409025,0
0.357031,0
0.18843497,1
0.31521326,0
0.302227,0
0.21895517,1
0.3382249,0
0.26386917,0
0.24885692,1
0.27795258,1
0.17727834,1
0.3651375,0
0.30745134,0
0.34656945,1
