model,label,bin,mean_pred,observed,n
cgf,CGF (proposed),0,0.007311319932341576,0.05313765182186235,1976
cgf,CGF (proposed),1,0.14914244413375854,0.2809917355371901,121
cgf,CGF (proposed),2,0.25393715500831604,0.42857142857142855,91
cgf,CGF (proposed),3,0.3446200489997864,0.4148936170212766,94
cgf,CGF (proposed),4,0.45122578740119934,0.5079365079365079,63
cgf,CGF (proposed),5,0.5487985610961914,0.453125,64
cgf,CGF (proposed),6,0.6476288437843323,0.6973684210526315,76
cgf,CGF (proposed),7,0.7488542795181274,0.7613636363636364,88
cgf,CGF (proposed),8,0.852046549320221,0.8018867924528302,106
cgf,CGF (proposed),9,0.9901243448257446,0.9607609988109393,1682
text,Text only (DistilRoBERTa),0,0.028532596305012703,0.06407942238267147,1108
text,Text only (DistilRoBERTa),1,0.1477964222431183,0.2006079027355623,329
text,Text only (DistilRoBERTa),2,0.24836333096027374,0.2830188679245283,265
text,Text only (DistilRoBERTa),3,0.3502226769924164,0.41947565543071164,267
text,Text only (DistilRoBERTa),4,0.45148342847824097,0.44545454545454544,220
text,Text only (DistilRoBERTa),5,0.5544419288635254,0.4936708860759494,237
text,Text only (DistilRoBERTa),6,0.646577000617981,0.6431535269709544,241
text,Text only (DistilRoBERTa),7,0.7513909339904785,0.6750788643533123,317
text,Text only (DistilRoBERTa),8,0.8533535599708557,0.743073047858942,397
text,Text only (DistilRoBERTa),9,0.9663310050964355,0.9142857142857143,980
llm_zeroshot,LLM zero-shot judge,0,0.05097096785902977,0.29012345679012347,162
llm_zeroshot,LLM zero-shot judge,1,0.15017350018024445,0.35964912280701755,114
llm_zeroshot,LLM zero-shot judge,2,0.25245165824890137,0.39814814814814814,108
llm_zeroshot,LLM zero-shot judge,3,0.3495776355266571,0.49206349206349204,126
llm_zeroshot,LLM zero-shot judge,4,0.44587305188179016,0.4785276073619632,163
llm_zeroshot,LLM zero-shot judge,5,0.5533043146133423,0.44041450777202074,193
llm_zeroshot,LLM zero-shot judge,6,0.6551369428634644,0.45075757575757575,264
llm_zeroshot,LLM zero-shot judge,7,0.7536924481391907,0.43870967741935485,465
llm_zeroshot,LLM zero-shot judge,8,0.857247531414032,0.47045707915273133,897
llm_zeroshot,LLM zero-shot judge,9,0.9475407600402832,0.5339753879079722,1869
