model,label,bin,mean_pred,observed,n
cgf,CGF (proposed),0,0.01722373440861702,0.27119550682000537,3739
cgf,CGF (proposed),1,0.14534462988376617,0.40425531914893614,470
cgf,CGF (proposed),2,0.24781523644924164,0.47701149425287354,348
cgf,CGF (proposed),3,0.3497130572795868,0.48986486486486486,296
cgf,CGF (proposed),4,0.4479467570781708,0.5384615384615384,260
cgf,CGF (proposed),5,0.551261305809021,0.5116279069767442,258
cgf,CGF (proposed),6,0.6524112224578857,0.4930232558139535,215
cgf,CGF (proposed),7,0.7467317581176758,0.6228813559322034,236
cgf,CGF (proposed),8,0.8529330492019653,0.6392156862745098,255
cgf,CGF (proposed),9,0.9716601371765137,0.733921815889029,793
text,Text only (DistilRoBERTa),0,0.04648922383785248,0.1737991266375546,1145
text,Text only (DistilRoBERTa),1,0.14782214164733887,0.24686716791979949,798
text,Text only (DistilRoBERTa),2,0.25121167302131653,0.34375,704
text,Text only (DistilRoBERTa),3,0.3497158885002136,0.39943342776203966,706
text,Text only (DistilRoBERTa),4,0.4499332308769226,0.47947214076246336,682
text,Text only (DistilRoBERTa),5,0.5503736734390259,0.4956647398843931,692
text,Text only (DistilRoBERTa),6,0.6509044766426086,0.5506329113924051,632
text,Text only (DistilRoBERTa),7,0.7482962608337402,0.5916795069337443,649
text,Text only (DistilRoBERTa),8,0.8483589887619019,0.5754716981132075,530
text,Text only (DistilRoBERTa),9,0.9382981657981873,0.4759036144578313,332
llm_zeroshot,LLM zero-shot judge,0,0.05103766545653343,0.40671641791044777,268
llm_zeroshot,LLM zero-shot judge,1,0.14858044683933258,0.4,190
llm_zeroshot,LLM zero-shot judge,2,0.2522321045398712,0.45901639344262296,183
llm_zeroshot,LLM zero-shot judge,3,0.34989190101623535,0.4336734693877551,196
llm_zeroshot,LLM zero-shot judge,4,0.44892778992652893,0.5171102661596958,263
llm_zeroshot,LLM zero-shot judge,5,0.5536671280860901,0.4402730375426621,293
llm_zeroshot,LLM zero-shot judge,6,0.6521053314208984,0.43537414965986393,441
llm_zeroshot,LLM zero-shot judge,7,0.7545980215072632,0.4452449567723343,694
llm_zeroshot,LLM zero-shot judge,8,0.856524646282196,0.4351781652767248,1319
llm_zeroshot,LLM zero-shot judge,9,0.9490629434585571,0.3608997684419451,3023
