model,label,bin,mean_pred,observed,n
cgf,CGF (proposed),0,0.009382277727127075,0.07915360501567398,1276
cgf,CGF (proposed),1,0.14529164135456085,0.2988505747126437,87
cgf,CGF (proposed),2,0.24964751303195953,0.3563218390804598,87
cgf,CGF (proposed),3,0.34554487466812134,0.38144329896907214,97
cgf,CGF (proposed),4,0.4553605616092682,0.3698630136986301,73
cgf,CGF (proposed),5,0.5532897114753723,0.4583333333333333,96
cgf,CGF (proposed),6,0.6512671113014221,0.4722222222222222,108
cgf,CGF (proposed),7,0.7527734041213989,0.4722222222222222,108
cgf,CGF (proposed),8,0.8607001304626465,0.42857142857142855,161
cgf,CGF (proposed),9,0.9909547567367554,0.7225408028231143,2267
text,Text only (DistilRoBERTa),0,0.04144321754574776,0.03353057199211045,507
text,Text only (DistilRoBERTa),1,0.14768604934215546,0.17647058823529413,255
text,Text only (DistilRoBERTa),2,0.24534377455711365,0.27184466019417475,206
text,Text only (DistilRoBERTa),3,0.35139143466949463,0.48514851485148514,202
text,Text only (DistilRoBERTa),4,0.4528452157974243,0.4634146341463415,205
text,Text only (DistilRoBERTa),5,0.5533813834190369,0.5800865800865801,231
text,Text only (DistilRoBERTa),6,0.6518210172653198,0.56,325
text,Text only (DistilRoBERTa),7,0.755380392074585,0.6279569892473118,465
text,Text only (DistilRoBERTa),8,0.856110692024231,0.6094750320102432,781
text,Text only (DistilRoBERTa),9,0.944708526134491,0.5748098055790364,1183
llm_zeroshot,LLM zero-shot judge,0,0.05098128318786621,0.30857142857142855,175
llm_zeroshot,LLM zero-shot judge,1,0.14929494261741638,0.29914529914529914,117
llm_zeroshot,LLM zero-shot judge,2,0.24993552267551422,0.3333333333333333,132
llm_zeroshot,LLM zero-shot judge,3,0.35458117723464966,0.38345864661654133,133
llm_zeroshot,LLM zero-shot judge,4,0.4506681263446808,0.44871794871794873,156
llm_zeroshot,LLM zero-shot judge,5,0.5533764362335205,0.44761904761904764,210
llm_zeroshot,LLM zero-shot judge,6,0.6531882286071777,0.4178082191780822,292
llm_zeroshot,LLM zero-shot judge,7,0.7532541751861572,0.45806451612903226,465
llm_zeroshot,LLM zero-shot judge,8,0.8557887077331543,0.46311010215664017,881
llm_zeroshot,LLM zero-shot judge,9,0.9460002779960632,0.5469705391884381,1799
