clip_sim,gate,is_fake
0.22102061,0.4917765,0
0.33633763,0.5117189,0
0.3428354,0.49365675,0
0.2644042,0.49243048,0
0.28395042,0.503076,1
0.3101138,0.48779526,0
0.3307138,0.48101068,0
0.36299053,0.482852,0
0.21827006,0.49251994,1
0.35922486,0.48571268,0
0.31631324,0.4929656,0
0.3008498,0.48825446,0
0.28550655,0.49861598,0
0.40662628,0.5006947,1
0.281576,0.48837173,0
0.29843733,0.49031338,0
0.2832716,0.48172927,0
0.26367038,0.4796749,0
0.2748629,0.51808375,1
0.36068732,0.5209441,1
0.24079056,0.49122062,0
0.28399894,0.4806002,0
0.24248433,0.49623084,1
0.33743382,0.49706435,0
0.30622488,0.48936626,1
0.2611896,0.5002543,0
0.27907127,0.4891571,0
0.26932186,0.5032689,1
0.3368874,0.49761507,0
0.28720474,0.49424657,0
0.23178944,0.4963998,1
0.2714433,0.4868116,0
0.3378391,0.50257206,0
0.32368883,0.49238613,0
0.20984751,0.4860302,1
0.38277483,0.5073118,1
0.24208626,0.4849056,1
0.30945936,0.48333642,0
0.21710226,0.48824295,1
0.18674703,0.49683204,1
0.2709582,0.49299207,0
0.19974867,0.49655214,1
0.33199984,0.49688652,1
0.3526671,0.49289206,0
0.30155808,0.49067387,0
0.24041685,0.4760883,0
0.1831956,0.49645343,0
0.287155,0.4969174,0
0.26889798,0.49903712,0
0.2543456,0.49869886,1
0.32770526,0.49885496,0
0.2968927,0.48586574,0
0.19330253,0.49490824,1
0.23911941,0.50002366,1
0.31897622,0.49389777,0
0.25771886,0.5128939,1
0.2640118,0.48416653,0
0.31728804,0.49005255,0
0.29242373,0.5163416,1
0.26416487,0.4808403,0
0.28575706,0.50147146,1
0.19506937,0.4889749,1
0.27537924,0.49692217,0
0.28340906,0.5025202,1
0.3419143,0.48397553,0
0.2561604,0.49443856,0
0.24434906,0.511599,1
0.3265592,0.488614,1
0.27506033,0.500858,0
0.2605633,0.5015769,1
0.27203313,0.5040917,1
0.33159986,0.51359135,1
0.28416413,0.5147452,1
0.2349141,0.50163335,1
0.2931723,0.4877182,0
0.22845009,0.50225353,1
0.32592,0.49169245,0
0.20244989,0.515243,1
0.30733502,0.497429,1
0.33043817,0.4976565,0
0.2947974,0.49135813,0
0.33410978,0.4996455,1
0.20998487,0.48983368,0
0.24032317,0.5151698,1
