clip_sim,gate,is_fake
0.26130134,0.47982988,0
0.25416923,0.46935406,0
0.28348136,0.48689365,0
0.29816484,0.4776574,1
0.3428354,0.4804866,0
0.32509542,0.48134407,0
0.3103231,0.49338135,1
0.2644042,0.48200545,0
0.2762377,0.47303572,1
0.25208944,0.48714375,0
0.23300242,0.47328523,1
0.22659704,0.48504457,0
0.29168183,0.4922271,1
0.28166386,0.4751364,0
0.3406262,0.48545977,0
0.32971036,0.47792995,0
0.27612388,0.4936943,1
0.29419965,0.48531565,0
0.21827006,0.48141682,1
0.27609086,0.47786546,0
0.32987845,0.47878638,1
0.29641727,0.48511282,0
0.31631324,0.4743894,0
0.3008498,0.47822252,0
0.3159038,0.47697458,0
0.2803421,0.49370578,1
0.2506414,0.492973,1
0.28967583,0.48541692,1
0.3318463,0.48954678,1
0.28550655,0.48492393,0
0.40662628,0.48783454,1
0.23417568,0.47842908,1
0.23531216,0.4859623,1
0.31960785,0.4718865,0
0.2832716,0.46864572,0
0.26367038,0.4812207,0
0.26051205,0.4744102,1
0.25859225,0.47304252,1
0.24951167,0.48883513,1
0.27009034,0.48821497,1
0.27863434,0.48562697,0
0.35294038,0.48595467,1
0.36883557,0.495258,1
0.24079056,0.47812343,0
0.22813609,0.47222564,1
0.28399894,0.47505486,0
0.26876986,0.4949251,0
0.28229177,0.47136068,0
0.31040153,0.47190404,0
0.29924184,0.47367367,0
0.31554517,0.48359632,1
0.2762272,0.48123956,0
0.30622488,0.48082078,1
0.24369535,0.4824704,0
0.20772357,0.4864403,1
0.26268178,0.48677102,0
0.21093641,0.4859006,1
0.2405379,0.4891143,0
0.3442992,0.48885772,0
0.30331928,0.478197,0
0.32696277,0.48139843,0
0.3459111,0.48282006,1
0.28912318,0.46873462,1
0.2849219,0.4867001,0
0.33973467,0.4869757,0
0.26588503,0.4857446,0
0.3378391,0.48617113,0
0.3171019,0.48536506,0
0.26968834,0.47020665,0
0.38277483,0.49355662,1
0.21995252,0.48995796,1
0.24208626,0.47650847,1
0.23593095,0.47784257,1
0.30945936,0.4755459,0
0.25647783,0.47209787,0
0.30565044,0.48348197,0
0.30392128,0.49029556,1
0.2512347,0.48325798,0
0.23564872,0.48302057,1
0.2553026,0.48717022,0
0.24041685,0.4733105,0
0.2382465,0.4749608,1
0.1831956,0.48643628,0
0.2197046,0.4689612,0
0.3039962,0.4658625,0
0.30598778,0.4717013,0
0.23645645,0.489887,1
0.400494,0.49428406,1
0.3185795,0.48818263,0
0.2358223,0.48947814,1
0.3295233,0.4780204,0
0.24613968,0.48393384,0
0.3149813,0.47390738,0
0.1725753,0.48174763,0
0.30617505,0.49060276,0
0.2640118,0.47409987,0
0.3763438,0.48931253,1
0.36259764,0.4923692,0
0.21652642,0.46173772,0
0.31036854,0.49660715,1
0.31001687,0.49471,1
0.26416487,0.48102352,0
0.29123545,0.46844593,0
0.34327766,0.49533382,0
0.29461682,0.47987983,0
0.39063382,0.49290764,0
0.3622753,0.48826185,0
0.27537924,0.48385575,0
0.28367084,0.48625073,0
0.25630113,0.482718,1
0.2895983,0.4682221,1
0.3265592,0.4636992,1
0.32059735,0.47531745,0
0.31348023,0.48692694,0
0.3086417,0.47092605,0
0.38093042,0.4841251,0
0.30129173,0.47364768,0
0.2605633,0.4974343,1
0.31878364,0.48273492,0
0.24939884,0.4825724,0
0.27388185,0.47948775,0
0.2983624,0.47815228,0
0.33325493,0.48868725,1
0.18611503,0.47565243,1
0.2139996,0.4847149,1
0.37737843,0.48618186,0
0.25242954,0.48402926,1
0.33198237,0.48785877,1
0.19491416,0.48480043,1
0.3193733,0.4705402,0
0.32781976,0.48603842,0
0.30733502,0.47811368,1
0.21263385,0.47601286,0
0.30711836,0.4757264,1
0.2947974,0.4803842,0
0.34616235,0.49691725,0
0.15055293,0.47425172,0
0.24923322,0.48486987,0
0.2615322,0.4752719,0
0.25179252,0.4842608,0
0.3462694,0.46630302,0
0.32085246,0.47711658,0
0.20819631,0.4750172,0
0.2750433,0.50002867,1
0.30246764,0.48266038,0
0.25746906,0.48769698,1
0.1801215,0.46972474,0
0.33934757,0.49085128,1
0.32534087,0.47814485,1
0.27218974,0.4787418,1
0.2946115,0.48518345,0
0.32955176,0.4707732,0
0.33293185,0.48685464,0
0.32087624,0.4723666,0
0.31808388,0.4940069,0
0.26944697,0.48141667,0
0.21683338,0.48146144,1
0.20599481,0.4712164,1
0.2891779,0.47472432,1
0.3386932,0.49800324,0
0.29845247,0.47862598,0
0.30447432,0.4770118,0
0.32947585,0.47709075,0
0.2818277,0.48115715,0
0.32279637,0.4791669,0
0.27095744,0.49255478,1
0.2768259,0.48316467,0
0.26768893,0.47164404,1
0.26702097,0.48979715,1
0.28052294,0.47886893,0
0.22812101,0.47809395,1
0.24230848,0.49805006,1
0.3089454,0.4999626,1
0.27631083,0.495962,1
0.3261817,0.49082494,1
0.20708649,0.48740348,1
0.27371582,0.48296395,0
0.2982651,0.48081934,1
0.28745496,0.46660963,0
0.3087861,0.48261723,0
0.28572634,0.47855392,0
0.31357273,0.4830416,0
0.28957957,0.46887776,0
0.25903326,0.48896524,1
0.34548363,0.48168325,0
0.31043532,0.4829497,1
0.29670465,0.5022152,1
0.2979496,0.4786141,0
0.26195776,0.46925417,0
0.31703866,0.48648813,0
0.30978596,0.46924543,1
0.33340597,0.48595798,1
0.29745075,0.48811164,1
0.2754808,0.4832497,0
0.30378383,0.4898926,1
0.24477355,0.48122144,1
0.31503302,0.48535094,0
0.2968951,0.4804646,1
0.2903978,0.4634154,0
0.25596753,0.49077377,0
0.25357354,0.46851596,0
0.18397117,0.48552117,0
0.33734643,0.48269138,1
0.30144227,0.48615828,1
0.30207866,0.4819087,0
0.28850287,0.47291377,0
0.29488018,0.4738082,0
0.24842435,0.4704807,0
0.34295344,0.4880031,0
0.2849155,0.45855856,0
0.26352054,0.48974085,1
0.27565652,0.46786106,1
0.34270415,0.48624122,0
0.33462912,0.49366865,1
0.16377859,0.46239424,1
0.34651566,0.48062348,0
0.3094942,0.47878543,0
0.2725987,0.50082254,1
0.26025027,0.4705696,0
0.21397196,0.48836336,1
0.29047284,0.47501945,0
0.29441458,0.47775725,0
0.28802562,0.48450002,1
0.24158777,0.4864953,1
0.31211543,0.4779881,0
0.2321918,0.49355754,1
0.26950705,0.47767973,0
0.3190754,0.48020208,0
0.31775534,0.46515584,0
0.33530933,0.48565754,1
0.32056457,0.4880909,1
0.3078387,0.47410223,0
0.21532121,0.48196104,0
0.3053714,0.49130067,0
0.26732484,0.4608499,0
0.27095658,0.46933874,0
0.24953744,0.47573414,0
0.30971685,0.48776665,1
0.3498742,0.48460278,0
0.24168159,0.46794114,1
0.25601947,0.48811725,0
0.24579294,0.47045878,1
0.3045424,0.459671,0
0.3326273,0.47957727,0
0.29357708,0.47897983,0
0.2595571,0.49317205,0
0.25575143,0.48771393,1
0.2657179,0.48345208,0
0.33477908,0.48883316,0
0.27894148,0.48250064,0
0.32298633,0.4844408,0
0.25990713,0.4743844,0
0.30131042,0.48724437,0
0.32168338,0.4829987,1
0.26798066,0.48670283,0
0.24273603,0.4661028,1
0.2581367,0.48651195,1
0.31649053,0.47885928,1
0.34242496,0.47941723,0
0.2600934,0.48582116,1
0.31409025,0.4724358,0
0.3382249,0.4699885,0
0.26386917,0.4792014,0
0.28398174,0.48729256,0
0.2962521,0.48525715,0
0.22932738,0.49736857,1
0.22030957,0.48538455,1
0.2285582,0.47477457,0
0.21830444,0.4629941,1
0.1961479,0.4838171,1
0.3183331,0.4816033,1
0.28704587,0.4811151,0
0.30374324,0.49072886,0
0.32475013,0.4717425,0
0.3086927,0.4785795,0
0.25380617,0.49404606,1
0.241506,0.47656226,1
0.34181023,0.48322046,0
0.2748733,0.48988247,0
0.29998213,0.49612293,1
0.29088742,0.47031677,0
0.30767918,0.4821774,0
0.17305204,0.47733948,0
0.27472264,0.48431465,1
0.29734653,0.48925754,0
0.26359814,0.47345507,0
0.28056443,0.48254052,0
0.29579082,0.4823372,0
0.27611214,0.48019147,0
0.22158998,0.4918549,1
0.33131295,0.46071246,0
0.27082372,0.493611,1
0.30693483,0.47809896,0
0.26654187,0.4876666,1
0.23344648,0.4787635,0
0.20771846,0.4864118,0
0.26640657,0.48427248,0
0.16900298,0.47788623,0
0.26802644,0.4748946,1
0.24502629,0.47539273,0
0.27919337,0.49430332,0
0.28233021,0.47259295,0
0.2550861,0.47719014,0
0.29960614,0.4717456,0
0.2971465,0.4809202,0
0.29245678,0.47211894,0
0.26890516,0.47739077,0
0.29891905,0.48304877,0
0.30319163,0.48386216,0
0.27016288,0.4814926,0
0.2643313,0.47812352,0
0.3193757,0.48342606,0
0.29364663,0.47649416,1
0.31869945,0.48152044,0
0.28267166,0.46908644,0
0.33530405,0.49503288,1
0.25602007,0.4856825,1
0.3440528,0.48247537,0
0.29129252,0.47636506,1
0.25557318,0.49143362,1
0.26752096,0.49241987,1
0.34532842,0.49399588,1
0.3068148,0.47532558,0
0.3612559,0.49423027,1
0.35782328,0.47284293,0
0.2958492,0.4757671,1
0.3128518,0.47532025,0
0.30208173,0.49176383,1
0.29324213,0.48904338,0
0.291795,0.49025056,0
0.28409612,0.48930362,0
0.2891425,0.4814427,1
0.3454932,0.47871947,0
0.29373544,0.4639578,1
0.1832015,0.47169635,0
0.3133927,0.47185,0
0.3232969,0.49064764,1
0.28349435,0.4755312,0
0.25080502,0.47785807,0
0.20432928,0.47811505,1
0.32589918,0.4791454,0
0.30765373,0.47210047,0
0.2858412,0.47517666,0
0.35587448,0.47783017,0
0.2036579,0.47874358,1
0.267177,0.4785529,1
0.25133193,0.49059907,1
0.3352135,0.47365126,0
0.2611716,0.47709274,0
0.30705485,0.47834358,0
0.28043187,0.49068823,0
0.24998444,0.48874605,0
0.25611904,0.48734376,0
0.27384704,0.4803141,1
0.29954374,0.47675028,1
0.33142653,0.4980793,1
0.32465386,0.47607955,0
0.2910661,0.46441922,0
0.32095534,0.48556963,0
0.33953476,0.4862357,0
0.31535667,0.4872737,0
0.17118037,0.4685192,0
0.33223242,0.48980752,1
0.22368112,0.4700782,1
0.24569401,0.46897808,0
0.1830473,0.48105887,1
0.31686813,0.46855602,1
0.24125522,0.47177243,0
0.31638497,0.48482272,1
0.33014122,0.487095,0
0.3115546,0.47245553,0
0.2512967,0.48284706,0
0.32472628,0.48763916,0
0.2745813,0.4782169,0
0.15642375,0.4673287,1
0.29306805,0.49571916,0
0.21982856,0.47240248,1
0.33656043,0.48167706,1
0.23230062,0.4870338,1
0.2976706,0.48469865,1
0.20122139,0.49058565,1
0.31773892,0.48439956,0
0.26160836,0.48776662,1
0.31084546,0.47171435,0
0.24434058,0.48618034,1
0.24133404,0.4738749,0
0.32873487,0.47411767,0
0.34686556,0.48668054,0
0.30731672,0.4787636,0
0.28992122,0.4849814,0
0.2479674,0.4765136,1
0.28112984,0.49725077,1
0.27439094,0.48585916,0
0.3122998,0.47205904,0
0.28060412,0.48278224,1
0.27959365,0.48249426,0
0.22439805,0.47651687,1
0.30587322,0.494783,1
0.17450956,0.4750774,0
0.20214462,0.4785968,0
0.2824431,0.47653928,0
0.28000665,0.48342046,1
0.28128216,0.48319623,1
