clip_sim,gate,is_fake
0.25416923,0.48189703,0
0.33823252,0.50987494,0
0.32509542,0.48331335,0
0.24640393,0.5007621,1
0.2762377,0.4916774,1
0.25208944,0.5006942,0
0.23300242,0.47732547,1
0.31201428,0.49661085,0
0.28395042,0.5077794,1
0.29168183,0.5063897,1
0.28075355,0.49946812,1
0.17649668,0.51201576,1
0.10447236,0.48930922,1
0.26466912,0.50538516,1
0.36426312,0.499662,0
0.36299053,0.4909478,0
0.24542294,0.48549247,0
0.3208393,0.49557468,0
0.2803421,0.5048157,1
0.28550655,0.4991761,0
0.23531216,0.5020297,1
0.2832716,0.48389825,0
0.2905296,0.50314724,0
0.25859225,0.47753695,1
0.24951167,0.49775338,1
0.24079056,0.48153087,0
0.3577388,0.5317006,1
0.31560117,0.49472022,0
0.31040153,0.47823036,0
0.30819106,0.48999503,0
0.2611896,0.50250155,0
0.12832847,0.49833533,1
0.30331928,0.49686885,0
0.20015179,0.50588816,1
0.3459111,0.49160185,1
0.3368874,0.4992286,0
0.29866546,0.48621368,0
0.23178944,0.50597286,1
0.19649276,0.50762635,1
0.33973467,0.47404024,0
0.28727362,0.50338334,1
0.32367986,0.49469233,0
0.3329364,0.5009722,1
0.28963116,0.5109678,0
0.26019597,0.49844822,1
0.2663637,0.50534844,0
0.22857001,0.50686985,1
0.28448483,0.4957287,0
0.25001723,0.4997717,1
0.23593095,0.49005947,1
0.30945936,0.4754672,0
0.27972168,0.5047712,0
0.33199984,0.5087631,1
0.27381897,0.48863804,0
0.287155,0.49722886,0
0.2197046,0.49500585,0
0.23754606,0.5039002,1
0.2358223,0.5045424,1
0.3149813,0.48382655,0
0.1725753,0.4924072,0
0.21343726,0.4952166,1
0.25630113,0.49404088,1
0.3419143,0.49143553,0
0.3086417,0.49327508,0
0.26047122,0.48652267,1
0.30472103,0.49471104,0
0.18611503,0.49280724,1
0.23129418,0.5040886,1
0.30733502,0.503525,1
0.2582371,0.49832574,1
0.27948648,0.49859276,0
0.21258686,0.49439612,1
0.33043817,0.49978486,0
0.33410978,0.5013611,1
0.37444535,0.5011966,0
0.2446106,0.47872016,1
0.20998487,0.49646106,0
0.32718575,0.5289462,1
0.16162634,0.51071197,1
0.22016114,0.5112379,1
0.16443625,0.47462252,1
0.26752198,0.48302832,0
0.30733037,0.48379326,0
0.2750433,0.51007205,1
0.31323147,0.5096994,0
