protocol,model,seed,mean_p_fake_clean_true,mean_p_fake_shuffled_true,delta_p_fake_true,flip_rate_true
source,cgf,13,0.1913275122642517,0.41263672709465027,0.22130921483039856,0.31799265605875154
source,cgf,42,0.21435466408729553,0.455383837223053,0.24102917313575745,0.3380660954712362
source,concat,13,0.3575231730937958,0.5127392411231995,0.1552160680294037,0.2776009791921665
source,concat,42,0.2706291377544403,0.46874162554740906,0.19811248779296875,0.29106487148102816
source,text,13,0.3935892879962921,0.3935892879962921,0.0,0.0
source,text,42,0.33459290862083435,0.33459290862083435,0.0,0.0
source,image,13,0.25406503677368164,0.43838170170783997,0.18431666493415833,0.3321909424724602
source,image,42,0.2515687048435211,0.4293021261692047,0.1777334213256836,0.3167686658506732
source,cgf_llm,13,0.2842668890953064,0.4889138638973236,0.2046469748020172,0.3321909424724602
source,cgf_llm,42,0.18533360958099365,0.39647039771080017,0.21113678812980652,0.3099143206854345
random,cgf,13,0.07510974258184433,0.34328505396842957,0.26817530393600464,0.3037135278514589
random,cgf,42,0.08642666041851044,0.34555697441101074,0.2591302990913391,0.3059239610963749
random,concat,13,0.1604638546705246,0.42381322383880615,0.26334935426712036,0.32272325375773653
random,concat,42,0.16747961938381195,0.383561909198761,0.21608228981494904,0.27586206896551724
random,text,13,0.243205726146698,0.243205726146698,0.0,0.0
random,text,42,0.2576940357685089,0.2576940357685089,0.0,0.0
random,image,13,0.2508038580417633,0.4991984963417053,0.24839463829994202,0.40495137046861185
random,image,42,0.27088502049446106,0.4951128661632538,0.22422784566879272,0.39036251105216624
random,cgf_llm,13,0.09050188213586807,0.38166534900665283,0.29116347432136536,0.33775419982316535
random,cgf_llm,42,0.1492195725440979,0.42952674627304077,0.28030717372894287,0.34924845269672855
