model,random,source,source_prior_matched,total_gap,gap_after_prior_match
cgf,0.9045345703260478,0.6247403734600854,0.6114196010739306,0.2797941968659624,0.2931149692521172
cgf_adv,0.8916202270381837,0.6528102722978734,0.6414330383709984,0.2388099547403103,0.25018718866718526
cgf_llm,0.902426753008402,0.641606939639385,0.6289587204760557,0.26081981336901705,0.2734680325323463
cgf_llm_adv,0.8914024418295953,0.6723218629465149,0.6690805103545737,0.2190805788830804,0.22232193147502155
cgf_no_cons,0.8895439031957804,0.6790237763108817,0.6762588604050452,0.21052012688489863,0.21328504279073512
cgf_no_gate,0.9009218748163295,0.6652218277592681,0.6563734356346353,0.23570004705706138,0.2445484391816941
cgf_no_inter,0.9053908210458206,0.6405496042957741,0.6283504302510899,0.26484121675004646,0.27704039079473064
cgf_no_meta,0.881095063479881,0.6055717145118503,0.5943820189655841,0.27552334896803066,0.2867130445142969
concat,0.8602915265096909,0.6389968603206242,0.6380559725010413,0.22129466618906668,0.22223555400864958
concat_adv,0.8508081131225009,0.6363486404774332,0.6355946047634299,0.2144594726450677,0.21521350835907105
concat_meta,0.89999307819369,0.6491075513877584,0.6368351998537173,0.25088552680593157,0.26315787833997273
cons,0.6689345311231838,0.5620560862366353,0.5491815099569161,0.10687844488654852,0.11975302116626774
image,0.8083192092181986,0.6244948297766996,0.6132573208065104,0.183824379441499,0.19506188841168814
late,0.8416690128640116,0.6467291054763706,0.6407490576377809,0.194939907387641,0.20091995522623074
llm_emb,0.7807541458724,0.5631707876893852,0.5664418331100559,0.21758335818301477,0.21431231276234408
llm_zeroshot,0.4528480536619557,0.385911231821776,0.41443220298840194,0.06693682184017968,0.03841585067355374
meta,0.7348447584708659,0.5899264091248061,0.5952752877495373,0.14491834934605985,0.13956947072132864
text,0.7896375323569358,0.6170152341216275,0.6168414440564847,0.17262229823530828,0.17279608830045112
tfidf_lr,0.7506882409183477,0.6163350972851798,0.61786075147982,0.13435314363316797,0.13282748943852773
